station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EWR,2023-01-01 15:51,57.00,33.00,40.28,260.00,8.00,0.00,29.95,1014.10,10.00,M,FEW,SCT,BKN,M,4000.00,12000.00,25000.00,M,M,M,M,M,M,M,M,57.00,KEWR 012051Z 26008KT 10SM FEW040 SCT120 BKN250 14/01 A2995 RMK AO2 SLP141 T01390006 53005,M
EWR,2023-01-01 16:51,54.00,36.00,50.42,240.00,6.00,0.00,29.95,1014.20,10.00,M,FEW,BKN,BKN,M,4000.00,12000.00,25000.00,M,M,M,M,M,M,M,M,54.00,KEWR 012151Z 24006KT 10SM FEW040 BKN120 BKN250 12/02 A2995 RMK AO2 SLP142 T01220022,M
EWR,2023-01-01 17:51,49.00,36.00,60.88,210.00,4.00,0.00,29.96,1014.50,10.00,M,FEW,BKN,BKN,M,4500.00,11000.00,25000.00,M,M,M,M,M,M,M,M,47.16,KEWR 012251Z 21004KT 10SM FEW045 BKN110 BKN250 09/02 A2996 RMK AO2 SLP145 T00940022,M
EWR,2023-01-01 18:51,52.00,35.00,52.36,260.00,7.00,0.00,30.01,1016.00,10.00,M,FEW,BKN,M,M,11000.00,25000.00,M,M,M,M,M,M,M,M,M,52.00,KEWR 012351Z 26007KT 10SM FEW110 BKN250 11/02 A3001 RMK AO2 SLP160 T01110017 10144 20094 53019,M
EWR,2023-01-01 19:51,49.00,35.00,58.75,210.00,3.00,0.00,30.01,1016.20,10.00,M,SCT,SCT,M,M,10000.00,25000.00,M,M,M,M,M,M,M,M,M,48.01,KEWR 020051Z 21003KT 10SM SCT100 SCT250 09/02 A3001 RMK AO2 SLP162 T00940017,M
EWR,2023-01-01 20:51,46.00,35.00,65.52,220.00,4.00,0.00,30.03,1016.80,10.00,M,BKN,BKN,M,M,9500.00,25000.00,M,M,M,M,M,M,M,M,M,43.77,KEWR 020151Z 22004KT 10SM BKN095 BKN250 08/02 A3003 RMK AO2 SLP168 T00780017,M
EWR,2023-01-01 21:51,49.00,37.00,63.34,220.00,4.00,0.00,30.04,1017.00,10.00,M,FEW,OVC,M,M,5500.00,9500.00,M,M,M,M,M,M,M,M,M,47.16,KEWR 020251Z 22004KT 10SM FEW055 OVC095 09/03 A3004 RMK AO2 SLP170 T00940028 52010,M
EWR,2023-01-01 22:51,50.00,36.00,58.44,240.00,4.00,0.00,30.04,1017.10,10.00,M,BKN,OVC,M,M,5500.00,9500.00,M,M,M,M,M,M,M,M,M,50.00,KEWR 020351Z 24004KT 10SM BKN055 OVC095 10/02 A3004 RMK AO2 SLP171 T01000022,M
EWR,2023-01-01 23:51,48.00,37.00,65.51,200.00,3.00,0.00,30.03,1017.00,10.00,M,BKN,OVC,M,M,5500.00,8500.00,M,M,M,M,M,M,M,M,M,46.98,KEWR 020451Z 20003KT 10SM BKN055 OVC085 09/03 A3003 RMK AO2 SLP170 T00890028 401440072,M
EWR,2023-01-02 00:51,48.00,37.00,65.51,240.00,3.00,0.00,30.03,1016.90,10.00,M,FEW,BKN,BKN,M,4400.00,6000.00,9000.00,M,M,M,M,M,M,M,M,46.98,KEWR 020551Z 24003KT 10SM FEW044 BKN060 BKN090 09/03 A3003 RMK AO2 SLP169 T00890028 10111 20078 58001,M
EWR,2023-01-02 01:51,47.00,37.00,68.27,200.00,3.00,0.00,30.04,1017.10,10.00,M,FEW,BKN,BKN,BKN,4200.00,5500.00,10000.00,22000.00,M,M,M,M,M,M,M,45.72,KEWR 020651Z 20003KT 10SM FEW042 BKN055 BKN100 BKN220 08/03 A3004 RMK AO2 SLP171 T00830028,M
EWR,2023-01-02 02:51,45.00,36.00,70.53,220.00,3.00,0.00,30.07,1018.20,10.00,M,FEW,FEW,BKN,BKN,4200.00,9000.00,20000.00,25000.00,M,M,M,M,M,M,M,43.55,KEWR 020751Z 22003KT 10SM FEW042 FEW090 BKN200 BKN250 07/02 A3007 RMK AO2 SLP182 T00720022,M
EWR,2023-01-02 03:51,45.00,37.00,73.37,0.00,0.00,0.00,30.06,1018.00,10.00,M,FEW,BKN,BKN,M,4500.00,20000.00,25000.00,M,M,M,M,M,M,M,M,45.00,KEWR 020851Z 00000KT 10SM FEW045 BKN200 BKN250 07/03 A3006 RMK AO2 SLP180 T00720028 50011,M
EWR,2023-01-02 04:51,44.00,37.00,75.93,0.00,0.00,0.00,30.08,1018.40,10.00,M,FEW,BKN,BKN,M,5000.00,18000.00,24000.00,M,M,M,M,M,M,M,M,44.10,KEWR 020951Z 00000KT 10SM FEW050 BKN180 BKN240 07/03 A3008 RMK AO2 SLP184 T00670028,M
EWR,2023-01-02 05:51,43.00,37.00,79.19,210.00,4.00,0.00,30.08,1018.60,10.00,M,BKN,BKN,M,M,14000.00,21000.00,M,M,M,M,M,M,M,M,M,40.27,KEWR 021051Z 21004KT 10SM BKN140 BKN210 06/03 A3008 RMK AO2 SLP186 T00610028,M
EWR,2023-01-02 06:51,44.00,37.00,75.93,230.00,6.00,0.00,30.11,1019.50,10.00,M,BKN,BKN,M,M,14000.00,21000.00,M,M,M,M,M,M,M,M,M,40.10,KEWR 021151Z 23006KT 10SM BKN140 BKN210 07/03 A3011 RMK AO2 SLP195 T00670028 10089 20061 53015,M
EWR,2023-01-02 07:51,46.00,37.00,70.64,240.00,5.00,0.00,30.13,1020.10,10.00,M,FEW,BKN,BKN,M,10000.00,17000.00,23000.00,M,M,M,M,M,M,M,M,43.02,KEWR 021251Z 24005KT 10SM FEW100 BKN170 BKN230 08/03 A3013 RMK AO2 SLP201 T00780028,M
EWR,2023-01-02 08:51,45.00,38.00,76.01,240.00,6.00,0.00,30.15,1020.70,10.00,M,FEW,BKN,BKN,M,10000.00,17000.00,23000.00,M,M,M,M,M,M,M,M,41.19,KEWR 021351Z 24006KT 10SM FEW100 BKN170 BKN230 07/03 A3015 RMK AO2 SLP207 T00720033,M
EWR,2023-01-02 09:51,48.00,40.00,73.38,230.00,5.00,0.00,30.15,1020.80,10.00,M,FEW,BKN,BKN,M,10000.00,16000.00,25000.00,M,M,M,M,M,M,M,M,45.40,KEWR 021451Z 23005KT 10SM FEW100 BKN160 BKN250 09/04 A3015 RMK AO2 SLP208 T00890044 51013,M
EWR,2023-01-02 10:51,52.00,41.00,66.00,250.00,4.00,0.00,30.14,1020.40,10.00,M,FEW,BKN,BKN,M,7000.00,16000.00,25000.00,M,M,M,M,M,M,M,M,52.00,KEWR 021551Z 25004KT 10SM FEW070 BKN160 BKN250 11/05 A3014 RMK AO2 SLP204 T01110050,M
EWR,2023-01-02 11:51,56.00,40.00,54.83,240.00,4.00,0.00,30.11,1019.50,10.00,M,FEW,BKN,BKN,M,7000.00,16000.00,25000.00,M,M,M,M,M,M,M,M,55.90,KEWR 021651Z 24004KT 10SM FEW070 BKN160 BKN250 13/04 A3011 RMK AO2 SLP195 T01330044,M
EWR,2023-01-02 12:51,58.00,41.00,53.24,280.00,6.00,0.00,30.09,1018.90,10.00,M,FEW,BKN,BKN,M,7000.00,13000.00,25000.00,M,M,M,M,M,M,M,M,57.90,KEWR 021751Z 28006KT 10SM FEW070 BKN130 BKN250 14/05 A3009 RMK AO2 SLP189 T01440050 10144 20067 58019,M
EWR,2023-01-02 13:51,58.00,42.00,55.55,240.00,7.00,0.00,30.10,1019.10,10.00,M,FEW,FEW,BKN,BKN,7000.00,11000.00,13000.00,25000.00,M,M,M,M,M,M,M,57.90,KEWR 021851Z 24007KT 10SM FEW070 FEW110 BKN130 BKN250 14/06 A3010 RMK AO2 SLP191 T01440056,M
EWR,2023-01-02 14:51,58.00,42.00,55.55,230.00,7.00,0.00,30.10,1019.20,10.00,M,FEW,BKN,BKN,M,7000.00,11000.00,25000.00,M,M,M,M,M,M,M,M,57.90,KEWR 021951Z 23007KT 10SM FEW070 BKN110 BKN250 14/06 A3010 RMK AO2 SLP192 T01440056,M
EWR,2023-01-02 15:51,57.00,43.00,59.40,230.00,6.00,0.00,30.11,1019.50,10.00,M,SCT,BKN,BKN,BKN,5500.00,9500.00,13000.00,20000.00,M,M,M,M,M,M,M,57.00,KEWR 022051Z 23006KT 10SM SCT055 BKN095 BKN130 BKN200 14/06 A3011 RMK AO2 SLP195 T01390061 53006,M
EWR,2023-01-02 16:51,56.00,44.00,64.47,220.00,6.00,0.00,30.11,1019.60,10.00,M,BKN,BKN,OVC,M,3700.00,10000.00,15000.00,M,M,M,M,M,M,M,M,55.90,KEWR 022151Z 22006KT 10SM BKN037 BKN100 OVC150 13/07 A3011 RMK AO2 SLP196 T01330067,M
EWR,2023-01-02 17:51,55.00,44.00,66.61,220.00,5.00,T,30.12,1019.80,10.00,M,BKN,BKN,BKN,M,3900.00,9000.00,15000.00,M,M,M,M,M,M,M,M,55.00,KEWR 022251Z 22005KT 10SM BKN039 BKN090 BKN150 13/07 A3012 RMK AO2 RAB12E42 SLP198 P0000 T01280067,M
EWR,2023-01-02 18:51,55.00,44.00,66.61,190.00,5.00,T,30.13,1020.30,10.00,M,BKN,BKN,OVC,M,4100.00,7000.00,9500.00,M,-RA,M,M,M,M,M,M,55.00,KEWR 022351Z 19005KT 10SM -RA BKN041 BKN070 OVC095 13/07 A3013 RMK AO2 RAB42 SLP203 P0000 60000 T01280067 10150 20122 53007,M
EWR,2023-01-02 19:51,55.00,46.00,71.60,230.00,7.00,T,30.15,1020.70,10.00,M,SCT,BKN,OVC,M,3500.00,6000.00,9000.00,M,-RA,M,M,M,M,M,M,55.00,KEWR 030051Z 23007KT 10SM -RA SCT035 BKN060 OVC090 13/08 A3015 RMK AO2 RAE00B44 SLP207 P0000 T01280078,M
EWR,2023-01-02 20:23,53.00,46.00,76.75,220.00,7.00,T,30.15,M,10.00,M,BKN,OVC,M,M,2800.00,6000.00,M,M,-RA,M,M,M,M,M,M,53.10,KEWR 030123Z 22007KT 10SM -RA BKN028 OVC060 12/08 A3015 RMK AO2 P0000 T01170078,M
EWR,2023-01-02 20:51,53.00,47.00,79.40,220.00,5.00,0.01,30.15,1021.00,8.00,M,BKN,OVC,M,M,2700.00,4700.00,M,M,-RA,M,M,M,M,M,M,53.10,KEWR 030151Z 22005KT 8SM -RA BKN027 OVC047 12/08 A3015 RMK AO2 SLP210 P0001 T01170083 $,M
EWR,2023-01-02 21:05,53.00,47.00,79.40,230.00,5.00,T,30.15,M,8.00,M,SCT,OVC,M,M,2500.00,4400.00,M,M,-RA,M,M,M,M,M,M,53.10,KEWR 030205Z 23005KT 8SM -RA SCT025 OVC044 12/08 A3015 RMK AO2 P0000 T01170083 $,M
EWR,2023-01-02 21:51,52.00,48.00,86.17,0.00,0.00,0.03,30.15,1020.80,7.00,M,FEW,BKN,OVC,M,2500.00,5000.00,7000.00,M,-RA,M,M,M,M,M,M,52.00,KEWR 030251Z 00000KT 7SM -RA FEW025 BKN050 OVC070 11/09 A3015 RMK AO2 SLP208 P0003 60004 T01110089 50005 $,M
EWR,2023-01-02 22:51,52.00,48.00,86.17,90.00,3.00,0.01,30.14,1020.50,8.00,M,BKN,OVC,M,M,5000.00,6500.00,M,M,M,M,M,M,M,M,M,52.00,KEWR 030351Z 09003KT 8SM BKN050 OVC065 11/09 A3014 RMK AO2 RAE41 SLP205 P0001 T01110089 $,M
EWR,2023-01-02 23:51,52.00,48.00,86.17,0.00,0.00,0.00,30.13,1020.10,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,52.00,KEWR 030451Z 00000KT 10SM OVC050 11/09 A3013 RMK AO2 SLP201 T01110089 401500061 $,M
EWR,2023-01-03 00:51,51.00,49.00,92.14,0.00,0.00,0.00,30.12,1019.80,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,M,M,M,M,M,M,51.10,KEWR 030551Z 00000KT 10SM OVC060 11/09 A3012 RMK AO2 SLP198 60005 T01060094 10128 20106 56010 $,M
EWR,2023-01-03 01:51,52.00,48.00,86.17,0.00,0.00,0.00,30.11,1019.50,10.00,M,BKN,OVC,M,M,5000.00,7000.00,M,M,M,M,M,M,M,M,M,52.00,KEWR 030651Z 00000KT 10SM BKN050 OVC070 11/09 A3011 RMK AO2 SLP195 T01110089 $,M
EWR,2023-01-03 02:51,51.00,46.00,82.62,80.00,3.00,0.00,30.11,1019.50,10.00,M,BKN,OVC,M,M,4900.00,7500.00,M,M,M,M,M,M,M,M,M,51.10,KEWR 030751Z 08003KT 10SM BKN049 OVC075 11/08 A3011 RMK AO2 SLP195 T01060078 $,M
EWR,2023-01-03 03:51,50.00,45.00,82.86,90.00,3.00,0.00,30.10,1019.20,10.00,M,BKN,OVC,M,M,4400.00,7500.00,M,M,M,M,M,M,M,M,M,50.00,KEWR 030851Z 09003KT 10SM BKN044 OVC075 10/07 A3010 RMK AO2 SLP192 T01000072 58006 $,M
EWR,2023-01-03 04:51,50.00,46.00,86.06,70.00,3.00,0.00,30.09,1018.80,9.00,M,FEW,BKN,OVC,M,4400.00,6000.00,9000.00,M,M,M,M,M,M,M,M,50.00,KEWR 030951Z 07003KT 9SM FEW044 BKN060 OVC090 10/08 A3009 RMK AO2 SLP188 T01000078 $,M
EWR,2023-01-03 05:51,50.00,46.00,86.06,0.00,0.00,T,30.07,1018.30,8.00,M,BKN,OVC,M,M,5500.00,10000.00,M,M,-RA,M,M,M,M,M,M,50.00,KEWR 031051Z 00000KT 8SM -RA BKN055 OVC100 10/08 A3007 RMK AO2 RAB20 SLP183 P0000 T01000078,M
EWR,2023-01-03 06:22,50.00,47.00,89.04,0.00,0.00,T,30.06,M,5.00,M,FEW,BKN,OVC,M,800.00,5500.00,7500.00,M,-RA BR,M,M,M,M,M,M,50.00,KEWR 031122Z 00000KT 5SM -RA BR FEW008 BKN055 OVC075 10/08 A3006 RMK AO2 P0000 T01000083,M
EWR,2023-01-03 06:51,50.00,46.00,86.06,0.00,0.00,0.01,30.06,1017.70,6.00,M,SCT,OVC,M,M,800.00,6500.00,M,M,-RA BR,M,M,M,M,M,M,50.00,KEWR 031151Z 00000KT 6SM -RA BR SCT008 OVC065 10/08 A3006 RMK AO2 SLP177 P0001 60001 70006 T01000078 10111 20094 58014,M
EWR,2023-01-03 07:51,50.00,47.00,89.04,0.00,0.00,T,30.04,1017.00,7.00,M,SCT,BKN,OVC,M,700.00,8000.00,12000.00,M,M,M,M,M,M,M,M,50.00,KEWR 031251Z 00000KT 7SM SCT007 BKN080 OVC120 10/08 A3004 RMK AO2 RAE12 SLP170 P0000 T01000083,M
EWR,2023-01-03 08:51,51.00,48.00,89.09,20.00,3.00,0.00,30.02,1016.30,5.00,M,FEW,BKN,BKN,M,600.00,6000.00,8000.00,M,BR,M,M,M,M,M,M,51.10,KEWR 031351Z 02003KT 5SM BR FEW006 BKN060 BKN080 11/09 A3002 RMK AO2 SLP163 T01060089,M
EWR,2023-01-03 09:51,51.00,48.00,89.09,60.00,4.00,0.00,30.00,1015.70,5.00,M,SCT,SCT,BKN,OVC,600.00,8000.00,11000.00,25000.00,BR,M,M,M,M,M,M,51.10,KEWR 031451Z 06004KT 5SM BR SCT006 SCT080 BKN110 OVC250 11/09 A3000 RMK AO2 SLP157 60000 T01060089 57021,M
EWR,2023-01-03 10:12,51.00,48.00,89.09,40.00,3.00,0.00,30.00,M,4.00,M,BKN,BKN,OVC,M,500.00,8000.00,9500.00,M,BR,M,M,M,M,M,M,51.10,KEWR 031512Z 04003KT 4SM BR BKN005 BKN080 OVC095 11/09 A3000 RMK AO2 T01060089,M
EWR,2023-01-03 10:26,51.00,47.00,85.48,320.00,5.00,0.00,30.02,M,2.50,M,BKN,OVC,M,M,500.00,6000.00,M,M,RA BR,M,M,M,M,M,M,51.10,KEWR 031526Z 32005KT 2 1/2SM RA BR BKN005 OVC060 11/08 A3002 RMK AO2 SFC VIS 3 RAB25 PRESRR T01060083 PNO,M
EWR,2023-01-03 10:51,50.00,48.00,92.80,310.00,3.00,0.13,30.01,1016.00,1.75,M,BKN,OVC,M,M,500.00,3200.00,M,M,+RA BR,M,M,M,M,M,M,50.00,KEWR 031551Z 31003KT 1 3/4SM R04R/4500VP6000FT +RA BR BKN005 OVC032 10/09 A3001 RMK AO2 TWR VIS 2 1/2 RAB25 SLP160 P0013 T01000089 $,M
EWR,2023-01-03 11:51,50.00,48.00,92.80,60.00,3.00,0.19,29.94,1013.80,1.50,M,BKN,BKN,OVC,M,500.00,4400.00,6000.00,M,-RA BR,M,M,M,M,M,M,50.00,KEWR 031651Z 06003KT 1 1/2SM -RA BR BKN005 BKN044 OVC060 10/09 A2994 RMK AO2 SFC VIS 1 3/4 PRESFR SLP138 P0019 T01000089 $,M
EWR,2023-01-03 12:51,51.00,49.00,92.14,180.00,3.00,0.11,29.91,1012.90,1.50,M,OVC,M,M,M,500.00,M,M,M,-RA BR,M,M,M,M,M,M,51.10,KEWR 031751Z 18003KT 1 1/2SM -RA BR OVC005 11/09 A2991 RMK AO2 SFC VIS 2 SLP129 P0011 60043 T01060094 10106 20100 58027 $,M
EWR,2023-01-03 13:51,53.00,51.00,92.89,220.00,6.00,0.01,29.89,1012.10,2.00,M,BKN,OVC,M,M,700.00,1200.00,M,M,-RA BR,M,M,M,M,M,M,53.10,KEWR 031851Z 22006KT 2SM -RA BR BKN007 OVC012 12/11 A2989 RMK AO2 SFC VIS 4 SLP121 CIG 006V008 P0001 T01170106,M
EWR,2023-01-03 14:51,54.00,51.00,89.88,200.00,7.00,T,29.86,1010.90,2.00,M,OVC,M,M,M,600.00,M,M,M,BR,M,M,M,M,M,M,54.00,KEWR 031951Z 20007KT 2SM BR OVC006 12/11 A2986 RMK AO2 SFC VIS 5 RAE07 SLP109 P0000 T01220106,M
EWR,2023-01-03 15:51,56.00,53.00,90.29,220.00,11.00,0.00,29.84,1010.50,2.00,M,OVC,M,M,M,500.00,M,M,M,BR,M,M,M,M,M,M,55.90,KEWR 032051Z 22011KT 2SM BR OVC005 13/12 A2984 RMK AO2 SFC VIS 4 SLP105 60001 T01330117 56025,M
EWR,2023-01-03 16:51,56.00,53.00,90.29,220.00,6.00,0.00,29.82,1009.80,6.00,M,SCT,SCT,BKN,BKN,900.00,1900.00,12000.00,17000.00,BR,M,M,M,M,M,M,55.90,KEWR 032151Z 22006KT 6SM BR SCT009 SCT019 BKN120 BKN170 13/12 A2982 RMK AO2 SLP098 T01330117,M
EWR,2023-01-03 17:51,56.00,54.00,93.32,240.00,5.00,0.00,29.83,1009.90,6.00,M,SCT,BKN,BKN,OVC,700.00,7000.00,15000.00,22000.00,BR,M,M,M,M,M,M,55.90,KEWR 032251Z 24005KT 6SM BR SCT007 BKN070 BKN150 OVC220 13/12 A2983 RMK AO2 SLP099 T01330122,M
EWR,2023-01-03 18:51,55.00,53.00,93.29,250.00,4.00,0.00,29.83,1010.10,6.00,M,FEW,SCT,BKN,OVC,700.00,1200.00,7000.00,25000.00,BR,M,M,M,M,M,M,55.00,KEWR 032351Z 25004KT 6SM BR FEW007 SCT012 BKN070 OVC250 13/12 A2983 RMK AO2 SLP101 60001 T01280117 10133 20106 55004,M
EWR,2023-01-03 19:51,55.00,53.00,93.29,0.00,0.00,0.00,29.82,1009.80,5.00,M,FEW,SCT,BKN,OVC,700.00,7000.00,15000.00,25000.00,BR,M,M,M,M,M,M,55.00,KEWR 040051Z 00000KT 5SM BR FEW007 SCT070 BKN150 OVC250 13/12 A2982 RMK AO2 SLP098 T01280117,M
EWR,2023-01-03 20:51,54.00,52.00,92.92,0.00,0.00,0.00,29.82,1009.60,5.00,M,FEW,FEW,BKN,OVC,700.00,7000.00,17000.00,25000.00,BR,M,M,M,M,M,M,54.00,KEWR 040151Z 00000KT 5SM BR FEW007 FEW070 BKN170 OVC250 12/11 A2982 RMK AO2 SLP096 T01220111,M
EWR,2023-01-03 21:51,54.00,52.00,92.92,170.00,3.00,0.00,29.81,1009.40,5.00,M,SCT,SCT,BKN,OVC,500.00,7000.00,19000.00,25000.00,BR,M,M,M,M,M,M,54.00,KEWR 040251Z 17003KT 5SM BR SCT005 SCT070 BKN190 OVC250 12/11 A2981 RMK AO2 SLP094 T01220111 56006,M
EWR,2023-01-03 22:07,53.00,51.00,92.89,190.00,3.00,0.00,29.81,M,4.00,M,BKN,BKN,BKN,OVC,400.00,12000.00,19000.00,25000.00,BR,M,M,M,M,M,M,53.10,KEWR 040307Z 19003KT 4SM BR BKN004 BKN120 BKN190 OVC250 12/11 A2981 RMK AO2 T01170106,M
EWR,2023-01-03 22:47,53.60,51.80,93.60,0.00,0.00,0.00,29.81,M,0.25,M,BKN,OVC,M,M,400.00,12000.00,M,M,BR,M,M,M,M,M,M,53.60,KEWR 040347Z 00000KT 1/4SM R04R/P6000FT BR BKN004 OVC120 12/11 A2981 RMK AO2 SFC VIS 2 VIS E 1,M
EWR,2023-01-03 22:51,53.00,52.00,96.03,0.00,0.00,0.00,29.81,1009.20,0.25,M,BKN,OVC,M,M,200.00,12000.00,M,M,BR,M,M,M,M,M,M,53.10,KEWR 040351Z 00000KT 1/4SM R04R/P6000FT BR BKN002 OVC120 12/11 A2981 RMK AO2 SFC VIS 1 SLP092 VIS E 1/2 T01170111,M
EWR,2023-01-03 23:33,51.00,50.00,96.00,160.00,3.00,0.00,29.78,M,0.75,M,VV ,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,51.10,KEWR 040433Z 16003KT 3/4SM R04R/1600V6000FT BR VV002 11/10 A2978 RMK AO2 T01060100,M
EWR,2023-01-03 23:51,51.00,50.00,96.00,160.00,3.00,0.00,29.78,1008.20,0.75,M,VV ,M,M,M,200.00,M,M,M,BR,M,M,M,M,M,M,51.10,KEWR 040451Z 16003KT 3/4SM R04R/1600V3000FT BR VV002 11/10 A2978 RMK AO2 SLP082 T01060100 401330094,M
